"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"South Africa","ZAF","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","SH.MLR.TRET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","","","","",
"South Africa","ZAF","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","0.488","","","","","","","","","","0.539","","","0.551","","","","","","","","","0.613","","","","","0.624","","","","0.593","","","","","","","","0.717","","","","","","","","","","","","0.765","0.788","0.759","0.799","","0.809","","","",
"South Africa","ZAF","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","74","70","70","64","75","68","84","79","85","85","85","76","76","76","82","79","75","72","69","65","62","63","64","69","68","73","77","72","77","79","78","84","86","84","81","81","83","84","87","86","80","",
"South Africa","ZAF","Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","SH.HIV.INCD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.13","8.64","11.39","14.23","16.84","19","20.56","21.56","21.92","21.82","21.33","20.55","19.66","18.83","18.03","17.26","16.57","15.91","15.34","14.72","14.03","13.34","12.51","11.73","10.9","10.11","9.22","8.16","7.37","6.6","6.19","5.68","5.21","","",
"South Africa","ZAF","Adults (ages 15+) and children (ages 0-14) newly infected with HIV","SH.HIV.INCD.TL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120000","170000","230000","290000","350000","410000","460000","490000","500000","510000","510000","510000","500000","490000","480000","470000","450000","430000","420000","400000","380000","360000","340000","320000","300000","280000","260000","230000","210000","190000","190000","170000","160000","","",
"South Africa","ZAF","Prevalence of HIV, male (% ages 15-24)","SH.HIV.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.8","1.3","1.9","2.6","3.4","4.2","4.8","5.3","5.6","5.8","5.8","5.8","5.7","5.6","5.4","5.2","5","4.8","4.6","4.4","4.3","4.2","4.1","4.1","4","4","3.9","3.9","3.8","3.8","3.7","3.6","","",
"South Africa","ZAF","People using safely managed drinking water services, urban (% of urban population)","SH.H2O.SMDW.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.2358647313665","90.2672216359491","90.3097145549129","90.352215208017","90.2727543367455","89.7323103291243","89.1914696312108","88.650232243005","88.1085981645069","87.5665673957161","87.0241399366333","86.4813157872582","85.9380949475907","85.3944774176309","84.8504631973788","84.3060522868341","83.7612446859973","83.2160403948682","82.6704394134468","82.124441741733","81.5780473797267","81.0312563274282","80.4840685848374","","",
"South Africa","ZAF","People using at least basic drinking water services, rural (% of rural population)","SH.H2O.BASW.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3973634707044","67.2218706951729","68.0463779196414","68.8708851441098","69.6953923685783","70.5198995930469","71.3444068175154","72.168914041984","72.9934212664525","73.8179284909208","74.6424357153894","75.4669429398579","76.2914501643264","77.115957388795","77.9404646132635","78.7649718377319","79.5894790622004","80.413986286669","81.2384935111375","82.063000735606","82.8875079600746","83.7120151845429","84.5365224090115","","",
"South Africa","ZAF","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","SH.DYN.NCOM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.9","26.4","27.6","28.3","28.6","28.5","29.2","28.5","28.8","28.4","28.6","27.6","27.9","27.6","27.8","27.9","27.2","26","25.6","24.6","22","20.1","","","",
"South Africa","ZAF","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","132.3","125","117.8","111","104.7","98.8","93.5","88.4","83.9","79.8","76","72.4","68.9","65.6","62.6","60.1","58.2","57","56.6","57","58.2","59.5","61.1","62.9","65.6","68.5","71.1","74.3","76.9","79.3","81","80.3","77.5","71.9","64.2","57","50","45","42.5","41","39.6","38.2","36.8","35.8","34.9","34.5","34.1","34.1","34.4","34.7","",
"South Africa","ZAF","Probability of dying among adolescents ages 15-19 years (per 1,000)","SH.DYN.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","7.9","7.9","8","8.2","8.3","8.6","8.9","9.2","9.5","9.8","10","10.2","10.3","10.3","10.2","10","9.7","9.4","9","8.7","8.3","8.1","7.9","7.7","7.6","7.6","7.5","7.5","7.4","7.5","7.5","7.6","7.6","",
"South Africa","ZAF","Cause of death, by non-communicable diseases (% of total)","SH.DTH.NCOM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2505854396478","","","","","","","","","","40.8141965079597","","","","","50.3104679515096","","","","51.3300565987341","","","","","",
"South Africa","ZAF","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","SH.DTH.COMM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.8791202385952","","","","","","","","","","48.8833234546531","","","","","37.2667407294851","","","","35.6803578327848","","","","","",
"South Africa","ZAF","Number of deaths ages 5-9 years","SH.DTH.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5498","5822","6097","6245","6379","6503","6602","6709","6798","6910","7096","7355","7606","7811","7919","7833","7530","7121","6667","6215","5807","5435","5071","4722","4371","4030","3722","3460","3237","3056","2908","2777","2693","2657","",
"South Africa","ZAF","Prevalence of anemia among children (% of children ages 6-59 months)","SH.ANM.CHLD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3","41","40.7","40.6","40.8","40.8","40.9","40.1","38.9","37.2","35.6","34.6","34.5","35.3","36.6","38","39.6","41.2","42.9","44.4","","","","","",
"South Africa","ZAF","Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.18","3.18","3.11","3.08","3.07","3.09","3.11","3.11","3.08","3.03","3.02","3.05","3.08","3.07","3.05","3.01","2.97","2.92","2.93","2.93","2.31","","","","",
"South Africa","ZAF","Women who believe a husband is justified in beating his wife when she goes out without telling him (%)","SG.VAW.GOES.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","","","","","","",
"South Africa","ZAF","Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)","SG.TIM.UWRK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.41667","","","","","","","","","","6.45833","","","","","","","","","","","","","","",
"South Africa","ZAF","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","SG.DMK.SRCR.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.5","","","","","","","","",
"South Africa","ZAF","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.41817","25.31181","26.32381","26.51544","23.97831","","15.5893","16.61957","","17.06743","","","15.24196","14.54785","14.51083","14.64847","14.11076","13.32329","15.05485","12.84803","13.09539","13.00968","12.53358","11.87729","11.70836","11.91283","12.40889","12.18509","12.54746","","14.36148","15.25153","","","","","","",
"South Africa","ZAF","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.99376","45.93262","44.25636","44.14791","41.69572","40.44617","42.94778","45.1061","42.29146","40.73365","41.09463","42.46292","40.49419","39.91602","","38.79543","","","38.88623","38.74843","","","","","","",
"South Africa","ZAF","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","SE.XPD.CSEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4354934692383","","97.5456390380859","96.930549621582","97.0360565185547","96.356689453125","95.1082534790039","97.0874481201172","97.6375122070312","100","97.6265869140625","98.2778396606445","98.5815582275391","96.6022491455078","96.3856811523438","","95.0535430908203","95.7942810058594","96.7381210327148","96.773307800293","96.5169906616211","96.5429000854492","96.4007797241211","",
"South Africa","ZAF","School enrollment, tertiary, female (% gross)","SE.TER.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.09585952758789","8.84815979003906","8.88632965087891","9.92759990692139","11.1443395614624","13.1359901428223","15.9919395446777","","","","","","","","","","","","","","","","","","20.2777404785156","21.3076000213623","21.35618019104","22.2706604003906","22.466760635376","25.3459606170654","27.9371891021729","28.9340000152588","30.9141902923584","31.5493297576904","34.2250289916992","","",
"South Africa","ZAF","Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","SE.TER.CUAT.ST.MA.ZS","","","","","","","","","","","4.26999998092651","","","","","","","","","","","","","","","3.10999989509583","","","","","","","","","","","","","","","","","5.71000003814697","6.44999980926514","5.55000019073486","5.03000020980835","4.94000005722046","5.13000011444092","5.11999988555908","6.26999998092651","6.90000009536743","6.71000003814697","7.1399998664856","11.4430274963379","7.57000017166138","8.28999996185303","11.9621315002441","11.6700000762939","12.9438743591309","19.9699993133545","12.8459539413452","15.5500001907349","12.5689630508423","13.0945243835449","",
"South Africa","ZAF","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","SE.TER.CUAT.MS.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.455017685890198","0.572316229343414","","0.458200812339783","0.589999973773956","1.0900000333786","0.741981685161591","1.33000004291534","1.06661379337311","0.610000014305115","1.08083665370941","1.9099999666214","1.0975729227066","0.996827483177185","",
"South Africa","ZAF","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","SE.TER.CUAT.BA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83927631378174","5.18007898330688","","5.95415067672729","6.03802108764648","6.07000017166138","8.25026321411133","8.25","11.1089563369751","8.02000045776367","7.68192005157471","12.960000038147","11.4343910217285","12.2000169754028","",
"South Africa","ZAF","Adolescents out of school, male (% of male lower secondary school age)","SE.SEC.UNER.LO.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9495000839233","","","","","16.6869602203369","19.0932693481445","23.0970001220703","23.9933795928955","23.6447296142578","21.7241992950439","19.4778804779053","","","","","","","","","","","","9.74102973937988","8.37812042236328","4.73220014572144","7.53911018371582","8.46533966064453","1.32591998577118","","",
"South Africa","ZAF","Secondary education, teachers","SE.SEC.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113215","","","","","","","143804","144949","147612","154960","146643","149046","149375","141562","158544","164990","168556","187162","","","","","","190022","192359","","","200877.015625","187854.171875","179504","182070","","",
"South Africa","ZAF","Trained teachers in upper secondary education, female (% of female teachers)","SE.SEC.TCAQ.UP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Africa","ZAF","PPG, other private creditors (NFL, current US$)","DT.NFL.PROP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265995000","1538679000","633561000","525072000","-178210000","100000000","-72728000","-230218000","-550552000","-347882000","-145218000","-145216000","-145218000","-145216000","-145218000","-145216000","-145218000","-72609000","-249000000","","","","","","","","","","","750000000","",
"South Africa","ZAF","PPG, commercial banks (NFL, current US$)","DT.NFL.PCBK.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154398000","110840000","-415288000","-26109000","-356499000","-106612000","-529226000","-904032000","-26202000","-325998000","593969000","1047780000","-971313000","-559334000","-296031000","-1504986000","284640000","981104000","721205000","-464881000","-533094000","2138464000","-681070000","488175000","4175447000","-1371230000","-598331000","-1888202000","-644137000","-680659000","",
"South Africa","ZAF","Net financial flows, others (NFL, current US$)","DT.NFL.MOTH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9074927.9","50364533","32144717.9","20085290.8","9429365","-1763449.4","-2802667","-2836680.4","161108710.6","-74177728.3","-82589200.6","10012236","70223323.5","",
"South Africa","ZAF","Net financial flows, IMF nonconcessional (NFL, current US$)","DT.NFL.IMFN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-422755495.5","-416822396.3","0","","","","","","","","","","","","","","","","","","","","","4250526512.4","0","0","-508806313.6","",
"South Africa","ZAF","Net official flows from UN agencies, IAEA (current US$)","DT.NFL.IAEA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600000.023841858","769999.980926514","330000.013113022","620000.004768372","779999.971389771","219999.998807907","280000.001192093","349999.994039536","959999.978542328","507742.643356323","444175.9288311","596809.804439545","376602.14304924","498423.427343369","642704.904079437","123160.853981972","494755.923748016","","",
"South Africa","ZAF","Portfolio investment, bonds (PPG + PNG) (NFL, current US$)","DT.NFL.BOND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1503217000","730889000","366480000","6738919000","1124123000","1252974000","1449493000","2185075000","1983000000","635443000","358742000","-1090675000","485765000","6794532000","3021082000","1809127000","6495723000","15790182000","15198563000","4636796000","3854584000","-10294631000","9727354000","12543981000","-2922633000","11904697000","-5685319000","-3179746000","-4345645000","-3431559000","",
"South Africa","ZAF","Present value of external debt (current US$)","DT.DOD.PVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93879471100.8","",
"South Africa","ZAF","Short-term debt (% of total external debt)","DT.DOD.DSTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7113","38.1457","41.5815","35.6728","43.9905","42.0492","35.8216","32.5347","22.9458","27.9091","30.7807","38.9469","42.1052","40.138","42.2799","34.5877","27.8117","23.619","24.6566","25.5875","28.4286","28.9835","25.8247","23.3616","26.5662","23.3283","21.1364","21.419","25.0105","25.4658","",
"South Africa","ZAF","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7789024059","9836655821.1","10347474379","16878392969.6","11929749566.3","9380945673.6","10320778773.6","9017342707.7","16147237961.1","18169554329.9","17798164260","18368263305.8","17793854427.2","17856818152.2","21530232803.6","23342396509.2","36329362957.7","44295799062.7","61136163609.8","60068193467.3","62659999617","53909946597.6","69682405316","90631414989.2","88666839498.7","102053617125.4","99435229724.4","95177963298.1","91236569527.1","89472937732.4","",
"South Africa","ZAF","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3430112992824","15.0170695489257","16.2687611496114","18.4812481915831","17.3639916238851","17.3421004881215","17.9488438094943","19.5001299531834","27.7913348185499","20.8473533430208","17.499891670399","15.8817076026059","19.3968431263798","22.519077312783","24.1786295037814","26.112601001907","28.1800559318895","27.7414231921247","34.9360348114713","36.2068137000957","40.1667158742941","37.7078002750993","45.6869077355498","47.189634345937","45.7386176540485","50.2455135053928","52.780991413988","41.0396501185489","43.0974181830946","44.1469911838428","",
"South Africa","ZAF","Net ODA provided, total (current US$)","DC.ODA.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"South Africa","ZAF","Net bilateral aid flows from DAC donors, Total (current US$)","DC.DAC.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265879998.166114","283749997.152016","377740003.89874","348970000.274479","483590003.095567","502059994.228184","522959992.982447","475289998.723194","412979997.647926","491820003.271103","611350004.270673","602570006.802678","638910012.181849","697459995.532408","738919993.907214","1045970008.6154","1015329992.46009","971119983.756915","1349060036.39288","935169992.655516","1179169973.75712","933070023.359731","1215329994.79398","1073960003.07985","902359991.641715","789210022.689775","862950016.6066","1057509983.53958","788589990.073816","834699989.801273","","",
"South Africa","ZAF","Net bilateral aid flows from DAC donors, Portugal (current US$)","DC.DAC.PRTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159999.996423721","39999.9991059303","79999.9982118607","","39999.9991059303","","119999.997317791","170000.001788139","109999.999403954","2009999.99046326","270000.010728836","400000.005960464","639999.985694885","250000","100000.001490116","150000.005960464","50000.0007450581","50000.0007450581","70000.0002980232","59999.9986588955","1460000.03814697","1620000.00476837","1259999.99046326","1240000.00953674","1360000.01430511","1379999.99523163","1230000.01907349","1080000.04291534","1019999.98092651","1000000","","",
"South Africa","ZAF","Net bilateral aid flows from DAC donors, Netherlands (current US$)","DC.DAC.NLDL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20079999.9237061","12619999.8855591","44479999.5422363","37590000.1525879","35939998.626709","42009998.3215332","26579999.9237061","24180000.3051758","34840000.1525879","45569999.6948242","29540000.9155273","55650001.5258789","55490001.6784668","53229999.5422363","44869998.9318848","36259998.3215332","48849998.4741211","36049999.2370605","32540000.9155273","21909999.8474121","10270000.4577637","3099999.90463257","2869999.88555908","2930000.0667572","930000.007152557","439999.997615814","750000","680000.007152557","409999.996423721","579999.983310699","","",
